pid,occupation,exposure,female,age,master,stem,tier1,months_grad,employed,parent_edu,internship,income,retained,phcd1,phcd2,phcd3,phcd4,anx1,anx2,anx3,anx4,lit1,lit2,lit3,lit4,sup1,sup2,sup3,sup4,adp1,adp2,adp3,adp4,avd1,avd2,avd3,mkr1,mkr2,mkr3,reskill_hours
270,"Banking, securities and finance",0.71,1,25,0,1,0,3,1,1,1,6200.0,1,2,2,1,2,1,1,1,2,3,3,4,5,3,4,3,3,1.0,1.0,2.0,2.0,3.0,4.0,3.0,4,5,6,5.0
271,Public sector and institutions,0.5,1,25,1,0,1,32,1,0,1,9000.0,1,5,4,4,5,5,5,4,5,1,3,2,1,4,5,6,5,4.0,5.0,6.0,4.0,4.0,4.0,4.0,6,4,4,21.0
272,Design and creative services,0.66,1,24,0,1,0,17,1,0,1,10700.0,0,6,5,5,5,5,4,6,5,6,4,3,5,4,2,3,4,,,,,,,,5,4,6,
273,Logistics and supply chain,0.33,1,25,0,0,1,26,1,0,1,4100.0,1,4,3,3,3,5,4,4,2,3,2,2,4,3,3,3,4,2.0,3.0,2.0,4.0,1.0,2.0,4.0,4,3,4,21.0
274,Education and training,0.55,1,26,1,0,0,33,1,0,0,10200.0,1,2,4,3,4,5,6,4,6,3,3,3,4,3,2,1,3,6.0,5.0,4.0,5.0,2.0,3.0,4.0,4,5,6,79.0
275,Software and IT services,0.86,1,25,0,0,1,29,0,0,1,0.0,1,5,5,5,5,3,4,5,3,4,4,4,3,2,4,4,3,6.0,6.0,6.0,4.0,5.0,5.0,4.0,4,2,2,18.0
276,"Banking, securities and finance",0.71,1,22,0,1,1,36,1,1,1,6000.0,0,2,3,2,2,2,3,4,2,4,5,4,6,5,4,4,3,,,,,,,,5,4,3,
277,Education and training,0.55,0,24,0,0,0,36,1,0,0,3400.0,1,2,3,3,3,5,7,6,5,6,4,3,6,3,3,6,3,6.0,7.0,4.0,5.0,6.0,3.0,3.0,4,4,2,21.0
278,Human resources,0.62,1,22,0,0,0,16,1,1,1,6400.0,0,3,3,4,4,5,5,6,6,2,1,2,1,4,3,3,6,,,,,,,,3,3,5,
279,Administrative and clerical,0.74,1,25,0,0,0,12,1,0,1,4700.0,1,5,4,5,5,5,4,5,6,5,4,5,4,2,2,3,2,5.0,5.0,5.0,6.0,6.0,6.0,5.0,5,3,5,19.0
280,Marketing and e-commerce,0.6,1,23,0,0,1,30,1,0,1,5500.0,1,6,6,6,6,3,3,2,4,3,4,3,3,6,5,5,6,6.0,4.0,6.0,2.0,3.0,2.0,2.0,4,3,4,26.0
281,"Banking, securities and finance",0.71,0,24,0,0,0,8,1,0,1,6700.0,1,1,2,3,1,2,4,3,3,4,5,6,7,7,7,7,7,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5,7,6,22.0
282,Marketing and e-commerce,0.6,1,21,0,0,0,6,1,1,1,5700.0,0,3,4,5,5,6,5,5,5,3,2,5,3,6,2,4,4,,,,,,,,4,4,5,
283,Marketing and e-commerce,0.6,1,22,0,1,0,22,0,0,1,0.0,1,4,3,4,4,4,1,3,2,5,4,3,4,3,1,2,2,4.0,3.0,4.0,2.0,5.0,5.0,7.0,3,4,3,47.0
284,Customer service and operations,0.64,1,25,0,1,0,27,0,0,1,0.0,1,4,4,3,6,4,4,4,4,6,7,6,7,1,5,4,2,4.0,6.0,5.0,7.0,4.0,3.0,4.0,7,6,5,17.0
285,Human resources,0.62,1,21,0,0,0,20,1,0,0,15800.0,1,4,3,4,1,2,3,2,2,1,2,5,2,3,3,4,3,4.0,4.0,3.0,4.0,5.0,3.0,5.0,2,2,1,23.0
286,Human resources,0.62,0,22,0,0,0,3,1,0,1,9900.0,1,3,2,2,3,3,4,4,3,4,2,3,3,4,6,6,6,3.0,2.0,2.0,3.0,3.0,4.0,5.0,4,4,4,11.0
287,"Content, media and communication",0.76,0,25,0,1,0,8,1,0,1,9400.0,0,5,5,6,5,3,3,3,2,5,6,6,6,6,6,4,5,,,,,,,,6,4,5,
288,Administrative and clerical,0.74,0,23,0,0,0,28,1,0,1,6000.0,1,5,5,6,5,7,7,7,7,1,3,3,3,3,2,4,3,2.0,1.0,1.0,1.0,5.0,5.0,3.0,1,3,2,8.0
289,Manufacturing operations,0.3,0,24,0,0,0,28,0,0,1,0.0,1,3,4,3,3,3,2,3,2,1,2,1,1,5,3,4,3,3.0,4.0,4.0,4.0,1.0,1.0,3.0,3,4,6,37.0
290,Sales,0.48,0,24,1,1,0,32,1,0,0,3700.0,1,3,3,4,3,4,4,4,3,6,6,5,3,4,4,5,2,5.0,3.0,4.0,4.0,4.0,3.0,2.0,2,3,3,26.0
291,Mechanical and civil engineering,0.42,0,24,0,0,0,3,1,1,1,5800.0,1,4,4,4,4,3,4,4,6,4,5,4,6,1,1,2,2,5.0,3.0,5.0,4.0,3.0,5.0,6.0,5,5,4,39.0
292,Education and training,0.55,1,24,0,0,0,10,1,0,0,7600.0,0,4,5,4,3,2,3,3,6,4,5,3,4,5,3,2,4,,,,,,,,3,4,5,
293,Education and training,0.55,0,25,0,0,0,19,1,0,1,6800.0,1,4,5,6,6,5,6,6,6,2,3,4,2,3,4,5,4,3.0,3.0,2.0,3.0,7.0,7.0,7.0,4,5,4,9.0
294,Accounting and audit,0.82,1,21,0,1,0,23,1,0,1,7000.0,1,5,5,5,3,3,4,4,4,5,6,6,7,5,6,5,5,4.0,3.0,4.0,6.0,5.0,5.0,2.0,5,7,5,10.0
295,Accounting and audit,0.82,1,24,0,0,0,32,0,0,0,0.0,0,7,7,7,7,7,7,7,7,1,1,3,1,5,3,4,4,,,,,,,,2,1,4,
296,Accounting and audit,0.82,1,25,0,0,1,18,1,1,1,9700.0,0,6,3,5,4,3,3,5,6,3,6,4,4,5,4,4,1,,,,,,,,5,3,3,
297,Administrative and clerical,0.74,1,26,1,0,0,8,1,0,1,4100.0,1,2,5,5,4,3,4,3,3,2,1,1,3,6,5,4,3,4.0,2.0,2.0,3.0,5.0,5.0,3.0,1,2,2,22.0
298,Research and development,0.58,0,25,0,1,0,21,1,0,1,4400.0,1,6,5,5,6,3,4,3,4,3,2,4,3,6,5,6,6,6.0,6.0,6.0,5.0,1.0,1.0,1.0,2,2,3,33.0
299,"Banking, securities and finance",0.71,1,22,0,0,1,12,1,0,1,5800.0,1,2,4,4,5,3,2,1,3,5,4,6,5,4,5,6,6,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3,5,2,17.0
300,Construction site management,0.22,1,28,1,0,0,6,1,0,0,6200.0,0,5,5,3,3,5,4,4,3,4,4,5,3,5,6,5,4,,,,,,,,4,5,3,
301,Marketing and e-commerce,0.6,1,23,0,0,1,27,0,1,1,0.0,1,4,5,3,4,5,4,2,4,2,2,1,1,4,5,6,6,7.0,7.0,5.0,7.0,5.0,4.0,3.0,3,2,2,49.0
302,Manufacturing operations,0.3,0,25,0,1,0,35,1,1,0,3300.0,1,2,4,3,2,4,5,6,6,7,7,5,6,2,5,5,5,6.0,4.0,6.0,5.0,4.0,3.0,3.0,5,4,3,54.0
303,Mechanical and civil engineering,0.42,1,24,0,1,1,26,1,1,0,7700.0,1,4,3,4,3,2,3,3,1,5,5,5,5,4,5,3,5,3.0,3.0,4.0,4.0,7.0,5.0,6.0,3,1,1,43.0
304,Customer service and operations,0.64,0,24,0,1,0,9,0,0,0,0.0,1,4,3,4,4,2,3,3,4,7,6,7,6,5,5,6,6,4.0,4.0,3.0,4.0,1.0,2.0,1.0,4,5,2,15.0
305,Human resources,0.62,1,25,0,1,0,17,0,0,0,0.0,1,3,4,4,3,7,7,7,7,4,7,5,4,5,5,3,5,4.0,2.0,6.0,4.0,6.0,6.0,6.0,2,6,4,41.0
306,Software and IT services,0.86,0,24,0,0,0,11,0,1,1,0.0,1,6,5,4,5,3,5,4,4,4,5,4,6,6,7,7,7,6.0,4.0,5.0,3.0,3.0,4.0,4.0,4,5,2,38.0
307,Accounting and audit,0.82,0,24,0,1,1,15,1,0,1,5900.0,0,4,4,5,5,3,3,5,2,6,6,5,6,3,3,3,3,,,,,,,,4,3,4,
308,Accounting and audit,0.82,0,21,0,1,0,13,1,1,1,5200.0,0,5,4,5,6,6,6,5,4,2,3,2,4,3,4,2,4,,,,,,,,4,5,2,
309,Accounting and audit,0.82,0,22,0,0,1,24,1,0,0,7100.0,0,4,2,5,4,5,3,5,2,4,4,4,3,6,5,5,4,,,,,,,,6,4,5,
310,Administrative and clerical,0.74,0,21,0,0,0,32,1,0,0,8200.0,1,4,2,3,3,1,2,2,2,4,3,3,4,2,2,3,2,3.0,1.0,4.0,3.0,5.0,4.0,5.0,4,5,7,12.0
311,Logistics and supply chain,0.33,1,23,0,0,1,3,1,1,1,5700.0,1,2,3,4,4,1,2,1,2,4,5,4,4,7,6,7,6,3.0,3.0,3.0,3.0,2.0,5.0,2.0,3,4,2,18.0
312,Marketing and e-commerce,0.6,0,23,0,1,0,3,0,0,1,0.0,0,5,5,6,5,5,7,3,5,5,5,4,5,5,6,5,5,,,,,,,,3,1,4,
313,Accounting and audit,0.82,1,25,0,0,0,26,1,0,0,8700.0,1,6,7,7,7,6,7,7,7,5,5,6,5,6,6,5,6,2.0,2.0,2.0,2.0,4.0,4.0,5.0,5,5,3,14.0
314,Public sector and institutions,0.5,1,21,0,1,0,32,0,0,0,0.0,1,4,4,3,4,3,5,4,3,6,6,5,5,5,5,4,4,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4,3,3,16.0
315,Marketing and e-commerce,0.6,1,22,0,1,0,5,0,0,0,0.0,1,4,1,4,4,3,3,3,6,5,5,6,5,4,4,5,3,6.0,7.0,7.0,5.0,3.0,4.0,4.0,4,5,4,38.0
316,Marketing and e-commerce,0.6,1,22,0,0,0,24,1,0,1,8200.0,1,4,4,4,2,5,4,5,5,7,5,5,5,2,2,1,2,4.0,4.0,3.0,3.0,2.0,4.0,2.0,4,2,5,24.0
317,Public sector and institutions,0.5,1,22,0,1,1,21,1,0,1,6400.0,1,3,4,3,3,3,3,1,1,7,7,7,7,5,2,2,2,4.0,5.0,4.0,2.0,4.0,3.0,2.0,2,4,5,35.0
318,Public sector and institutions,0.5,1,22,0,0,1,14,1,0,0,8400.0,0,5,4,3,4,5,5,6,5,2,1,1,4,1,1,3,3,,,,,,,,4,3,3,
319,Logistics and supply chain,0.33,1,25,0,0,0,22,1,0,1,7000.0,1,3,3,3,2,1,2,3,1,3,3,4,4,4,3,5,5,1.0,3.0,3.0,3.0,4.0,3.0,2.0,4,2,1,10.0
320,Construction site management,0.22,1,24,0,0,1,31,1,1,1,6100.0,1,2,1,2,1,4,2,4,3,5,3,4,5,5,4,5,4,4.0,4.0,4.0,5.0,3.0,3.0,2.0,3,1,4,24.0
321,"Content, media and communication",0.76,1,24,0,0,0,13,0,0,1,0.0,1,4,5,4,4,6,5,6,7,4,6,6,6,3,2,4,6,5.0,4.0,3.0,5.0,4.0,4.0,2.0,5,6,4,20.0
322,"Content, media and communication",0.76,0,26,1,0,0,27,0,1,1,0.0,0,7,5,5,5,5,4,6,5,6,4,4,4,3,3,3,2,,,,,,,,5,4,4,
323,Mechanical and civil engineering,0.42,0,23,0,0,0,10,1,0,1,6000.0,1,6,4,4,4,5,6,5,7,3,4,3,3,4,4,3,3,4.0,3.0,5.0,6.0,5.0,4.0,5.0,5,3,3,59.0
324,Sales,0.48,0,21,0,1,1,8,1,0,1,5300.0,1,4,4,3,4,3,4,4,6,3,5,3,4,5,5,3,5,5.0,4.0,4.0,4.0,2.0,3.0,2.0,3,2,6,25.0
325,Software and IT services,0.86,1,25,0,1,1,27,1,1,1,5000.0,1,4,2,2,2,2,2,2,4,6,5,6,6,4,6,4,4,4.0,4.0,2.0,6.0,2.0,4.0,3.0,4,6,6,23.0
326,Customer service and operations,0.64,0,25,1,0,0,22,0,0,1,0.0,1,4,4,4,4,3,2,4,5,3,3,4,3,4,4,3,6,2.0,4.0,4.0,2.0,6.0,1.0,2.0,5,6,6,18.0
327,Public sector and institutions,0.5,0,21,0,0,0,15,0,0,0,0.0,1,4,4,3,3,6,6,6,6,2,5,3,5,3,2,1,3,4.0,5.0,6.0,6.0,5.0,5.0,4.0,5,7,6,33.0
328,Public sector and institutions,0.5,0,21,0,1,0,28,1,0,1,6000.0,1,4,2,2,2,3,4,4,3,4,4,6,6,5,3,4,5,3.0,3.0,2.0,3.0,3.0,2.0,1.0,2,1,1,10.0
329,Education and training,0.55,1,28,1,0,0,27,1,1,0,3000.0,1,4,4,5,3,4,3,5,4,7,5,6,6,1,1,3,3,3.0,4.0,4.0,4.0,5.0,3.0,5.0,1,2,1,35.0
330,Accounting and audit,0.82,0,21,0,1,0,19,1,0,1,7800.0,1,5,5,6,5,6,4,4,5,5,6,5,5,3,3,1,4,3.0,5.0,4.0,5.0,5.0,5.0,7.0,5,4,3,54.0
331,Customer service and operations,0.64,0,24,0,1,1,22,1,0,0,11800.0,0,7,7,5,5,5,5,4,5,2,4,5,1,4,4,3,5,,,,,,,,5,5,4,
332,Accounting and audit,0.82,0,21,0,0,0,19,1,0,1,5000.0,1,5,5,5,6,5,3,6,4,1,2,1,1,2,2,4,4,4.0,1.0,3.0,3.0,5.0,5.0,4.0,4,5,4,49.0
333,Hospitality and retail,0.25,1,24,0,1,0,29,0,0,0,0.0,1,3,3,2,4,2,3,3,1,3,2,4,5,3,2,4,5,3.0,3.0,2.0,4.0,2.0,5.0,3.0,4,3,3,9.0
334,"Content, media and communication",0.76,1,22,0,1,0,26,1,0,1,3500.0,1,4,4,5,4,1,2,2,2,5,5,5,4,4,2,6,5,5.0,3.0,5.0,4.0,4.0,3.0,2.0,4,4,4,28.0
335,Marketing and e-commerce,0.6,0,22,0,1,0,36,0,0,0,0.0,1,5,3,4,5,4,2,2,3,3,4,3,4,2,3,5,3,2.0,3.0,4.0,3.0,7.0,5.0,5.0,5,2,2,16.0
336,Accounting and audit,0.82,1,22,0,0,0,6,0,0,0,0.0,1,7,6,5,7,5,6,5,6,6,6,6,6,4,4,5,4,6.0,4.0,6.0,6.0,4.0,4.0,3.0,6,7,5,24.0
337,Administrative and clerical,0.74,0,25,0,1,1,4,1,0,1,3300.0,1,6,4,6,4,4,3,3,4,5,5,3,5,5,6,7,6,3.0,3.0,3.0,2.0,5.0,5.0,5.0,7,7,6,5.0
338,"Content, media and communication",0.76,1,26,1,1,1,25,1,0,0,4200.0,1,2,2,1,1,2,2,2,3,3,3,2,3,7,5,3,4,3.0,2.0,4.0,2.0,4.0,4.0,5.0,4,4,4,15.0
339,Education and training,0.55,1,25,0,0,0,24,1,0,0,5000.0,0,4,5,4,2,5,4,6,4,2,2,1,2,4,5,3,3,,,,,,,,4,5,2,
340,Education and training,0.55,1,25,0,0,0,35,0,0,1,0.0,1,4,3,3,2,4,3,5,5,2,3,2,1,5,6,4,4,6.0,5.0,7.0,4.0,2.0,2.0,4.0,4,6,6,52.0
341,Administrative and clerical,0.74,1,24,0,1,1,10,1,0,0,6900.0,1,5,6,5,5,4,6,6,3,4,5,4,4,5,4,3,5,4.0,3.0,3.0,3.0,7.0,7.0,7.0,7,7,5,8.0
342,Mechanical and civil engineering,0.42,0,21,0,1,1,13,1,0,1,7200.0,1,6,4,4,5,3,3,5,3,6,7,5,5,2,5,4,5,6.0,4.0,4.0,4.0,5.0,5.0,3.0,4,4,3,45.0
343,Design and creative services,0.66,0,23,0,0,0,14,1,0,0,10600.0,1,3,3,4,4,4,4,4,5,3,4,3,4,4,4,4,4,5.0,6.0,5.0,3.0,5.0,4.0,4.0,3,2,4,31.0
344,Public sector and institutions,0.5,0,21,0,0,0,26,1,0,0,11500.0,1,6,3,5,7,4,5,3,4,3,3,4,4,2,1,3,4,4.0,5.0,4.0,5.0,5.0,6.0,4.0,1,4,3,44.0
345,Marketing and e-commerce,0.6,0,21,0,1,0,11,0,0,1,0.0,0,5,5,5,4,5,4,4,6,4,4,5,6,5,3,4,5,,,,,,,,2,3,3,
346,Customer service and operations,0.64,1,23,0,0,1,27,1,0,1,2800.0,0,3,4,4,3,5,5,5,5,4,5,2,4,7,5,4,6,,,,,,,,6,5,2,
347,Design and creative services,0.66,1,24,0,1,1,21,0,0,1,0.0,1,2,2,3,2,5,5,5,4,3,2,2,4,4,6,3,3,5.0,4.0,4.0,4.0,2.0,2.0,4.0,4,3,4,37.0
348,Marketing and e-commerce,0.6,0,23,0,1,1,18,1,0,1,4500.0,1,6,4,5,6,5,4,4,6,3,4,3,3,3,3,4,2,4.0,5.0,3.0,3.0,4.0,4.0,3.0,5,6,6,29.0
349,Education and training,0.55,1,22,0,0,0,12,1,1,1,6800.0,1,3,1,2,4,3,3,2,4,3,4,2,4,4,6,6,5,6.0,5.0,5.0,6.0,4.0,3.0,4.0,5,3,6,28.0
350,Healthcare and nursing,0.35,1,23,0,1,0,20,1,1,1,5300.0,1,2,1,3,2,4,2,3,2,4,4,5,5,6,5,4,4,7.0,6.0,7.0,6.0,4.0,4.0,4.0,3,4,3,71.0
351,Software and IT services,0.86,0,22,0,1,0,4,1,1,0,7500.0,1,3,3,3,4,5,4,4,4,5,4,3,5,4,5,4,6,7.0,6.0,7.0,7.0,3.0,4.0,3.0,3,4,3,67.0
352,Sales,0.48,1,21,0,1,0,33,1,0,1,8400.0,0,7,6,6,5,5,4,5,3,4,4,3,2,1,2,1,2,,,,,,,,2,2,4,
353,Mechanical and civil engineering,0.42,1,22,0,1,0,25,1,0,1,4400.0,1,3,4,3,4,4,6,4,5,4,4,5,4,6,5,5,6,5.0,5.0,7.0,6.0,6.0,4.0,4.0,4,4,3,260.0
354,"Content, media and communication",0.76,0,24,0,1,0,12,0,1,1,0.0,0,5,4,6,4,4,4,2,3,1,2,2,2,5,2,3,3,,,,,,,,3,3,4,
355,Administrative and clerical,0.74,0,25,0,0,1,3,0,0,1,0.0,1,4,4,4,3,5,4,6,5,4,4,3,3,4,5,5,5,6.0,7.0,6.0,4.0,3.0,3.0,3.0,2,5,4,18.0
356,Customer service and operations,0.64,1,22,0,1,0,4,1,0,1,5800.0,1,3,2,2,2,3,4,4,3,1,2,4,4,3,4,4,2,3.0,4.0,3.0,4.0,6.0,4.0,4.0,4,4,4,9.0
357,Education and training,0.55,0,22,0,0,1,14,1,1,0,7000.0,1,4,5,2,3,3,3,3,4,6,5,6,4,3,3,3,6,5.0,5.0,5.0,4.0,3.0,4.0,2.0,4,2,4,36.0
358,Sales,0.48,1,22,0,0,0,7,1,1,0,5200.0,1,3,5,4,3,6,6,6,6,3,3,5,5,3,4,4,4,2.0,5.0,4.0,2.0,5.0,4.0,5.0,6,6,5,10.0
359,Legal services,0.68,0,22,0,0,1,24,1,1,1,4600.0,1,5,5,4,5,4,3,7,6,3,4,3,3,5,5,4,4,5.0,5.0,6.0,5.0,5.0,4.0,4.0,4,4,3,30.0
360,Accounting and audit,0.82,0,24,1,0,0,12,1,0,0,2500.0,1,6,5,5,6,6,6,6,6,4,4,5,4,4,4,5,3,5.0,5.0,5.0,5.0,4.0,5.0,4.0,1,1,5,10.0
361,Logistics and supply chain,0.33,1,21,0,1,0,8,1,0,0,8800.0,1,1,2,3,3,4,3,1,3,6,5,3,3,2,5,4,3,2.0,3.0,2.0,2.0,3.0,2.0,2.0,6,4,3,6.0
362,Legal services,0.68,0,24,0,1,0,35,0,0,1,0.0,1,4,6,6,4,3,3,3,3,4,3,2,1,6,5,5,6,4.0,4.0,1.0,3.0,3.0,2.0,1.0,4,6,4,11.0
363,Sales,0.48,0,21,0,0,0,25,1,0,1,6400.0,1,3,2,4,5,2,4,4,2,3,2,2,5,5,7,6,6,4.0,5.0,6.0,5.0,3.0,1.0,2.0,5,5,4,13.0
364,Mechanical and civil engineering,0.42,1,21,0,0,1,3,1,0,1,5500.0,1,1,1,1,1,4,5,4,2,7,4,6,5,2,3,3,2,5.0,5.0,4.0,6.0,1.0,3.0,2.0,6,6,5,49.0
365,Design and creative services,0.66,1,22,0,0,1,10,0,0,0,0.0,0,6,5,5,5,4,6,5,6,3,4,3,3,3,4,3,5,,,,,,,,6,7,5,
366,Customer service and operations,0.64,0,25,0,0,1,24,1,1,1,5500.0,1,6,6,5,4,2,2,4,5,5,4,5,5,5,6,4,3,5.0,5.0,6.0,5.0,4.0,5.0,3.0,4,3,4,34.0
367,Construction site management,0.22,0,22,0,0,0,4,0,0,1,0.0,1,3,4,3,3,5,5,4,5,5,3,5,3,1,3,3,5,4.0,5.0,5.0,7.0,4.0,2.0,5.0,7,5,6,45.0
368,Healthcare and nursing,0.35,0,24,1,0,0,29,1,0,0,9400.0,1,5,6,4,3,3,4,5,4,5,6,6,3,6,4,4,5,2.0,4.0,6.0,6.0,3.0,5.0,5.0,7,5,6,10.0
369,Software and IT services,0.86,1,24,0,1,1,29,1,0,1,5500.0,1,4,4,4,4,2,4,4,2,5,5,6,3,7,5,5,4,4.0,3.0,3.0,2.0,5.0,3.0,5.0,5,3,5,7.0
370,Sales,0.48,0,21,0,1,0,10,1,0,0,4900.0,1,4,4,4,4,2,3,5,5,6,6,5,5,4,7,4,5,4.0,3.0,5.0,3.0,4.0,3.0,4.0,6,5,5,27.0
371,"Content, media and communication",0.76,1,24,1,0,0,36,1,0,0,6700.0,0,6,5,5,5,2,4,1,4,5,5,5,5,6,4,5,5,,,,,,,,4,5,5,
372,Logistics and supply chain,0.33,1,21,0,1,1,10,0,0,1,0.0,0,2,3,4,1,3,3,2,1,6,6,2,5,2,2,3,4,,,,,,,,1,2,1,
373,Education and training,0.55,1,25,0,0,1,6,0,0,1,0.0,1,5,2,4,3,4,4,5,4,6,6,7,7,6,3,3,4,3.0,3.0,5.0,6.0,5.0,5.0,5.0,2,2,2,8.0
374,"Banking, securities and finance",0.71,1,24,0,1,0,19,0,1,0,0.0,1,4,5,4,6,7,7,6,7,7,3,5,5,5,5,3,5,5.0,3.0,4.0,3.0,6.0,6.0,5.0,4,3,1,14.0
375,Administrative and clerical,0.74,0,23,0,1,0,6,1,0,1,13700.0,1,5,3,5,4,5,6,5,5,5,5,5,4,7,6,6,6,3.0,3.0,3.0,4.0,6.0,5.0,5.0,7,7,4,12.0
376,Research and development,0.58,1,24,0,0,1,5,1,0,1,7800.0,1,1,3,2,2,3,2,3,3,4,4,5,4,2,5,4,4,3.0,3.0,6.0,3.0,2.0,1.0,2.0,6,7,7,19.0
377,Marketing and e-commerce,0.6,1,22,0,0,1,24,0,0,0,0.0,1,4,6,5,6,4,6,6,4,5,3,3,2,2,2,2,3,4.0,6.0,4.0,3.0,3.0,4.0,4.0,2,5,2,9.0
378,Marketing and e-commerce,0.6,1,25,0,0,0,15,1,1,1,4900.0,1,5,7,5,4,6,7,4,6,5,4,4,4,2,2,5,3,6.0,6.0,5.0,7.0,6.0,5.0,6.0,3,3,3,76.0
379,Legal services,0.68,0,25,0,0,0,13,1,0,1,3500.0,1,6,6,6,6,5,5,4,5,6,4,6,3,4,4,4,3,6.0,2.0,5.0,5.0,3.0,4.0,5.0,4,6,5,16.0
380,Software and IT services,0.86,1,21,0,1,0,6,1,1,1,11300.0,1,5,5,6,5,7,6,7,7,3,4,4,2,2,4,3,4,2.0,3.0,2.0,3.0,5.0,6.0,6.0,1,3,3,7.0
381,Administrative and clerical,0.74,0,24,0,1,1,30,1,1,1,5000.0,1,3,2,4,5,4,2,2,3,2,3,2,3,3,5,2,1,3.0,5.0,3.0,4.0,2.0,2.0,2.0,2,2,2,38.0
382,Sales,0.48,0,24,0,1,1,8,1,1,0,6500.0,1,1,3,3,3,1,1,2,2,4,5,4,3,5,3,5,3,4.0,4.0,4.0,4.0,4.0,2.0,3.0,2,6,3,12.0
383,Public sector and institutions,0.5,0,22,0,1,1,29,1,1,1,19400.0,1,4,3,2,1,4,5,3,3,5,5,6,5,4,4,4,2,2.0,1.0,3.0,3.0,1.0,3.0,1.0,5,5,6,18.0
384,Manufacturing operations,0.3,1,25,0,1,0,3,0,0,0,0.0,0,3,4,2,3,5,5,3,3,3,4,2,4,2,3,2,2,,,,,,,,4,4,3,
385,Accounting and audit,0.82,0,21,0,1,1,33,1,1,1,8000.0,0,4,4,5,6,5,6,6,5,5,4,3,5,3,2,2,2,,,,,,,,7,5,7,
386,"Banking, securities and finance",0.71,1,21,0,0,1,35,0,1,0,0.0,0,5,4,4,6,3,4,4,4,3,2,3,4,6,6,4,4,,,,,,,,3,2,4,
387,"Content, media and communication",0.76,0,21,0,1,0,4,0,1,1,0.0,1,4,4,4,5,2,3,4,3,5,3,5,5,3,3,4,3,4.0,4.0,3.0,6.0,3.0,3.0,3.0,3,6,4,16.0
388,Software and IT services,0.86,0,25,0,1,0,25,1,0,1,7100.0,0,5,3,3,4,4,4,4,4,2,2,4,3,2,2,2,3,,,,,,,,5,5,5,
389,Logistics and supply chain,0.33,1,24,0,0,0,11,1,0,1,12100.0,1,1,1,2,1,2,2,3,2,5,6,6,5,2,4,2,4,1.0,4.0,5.0,4.0,3.0,3.0,3.0,4,3,6,28.0
390,Healthcare and nursing,0.35,1,25,0,0,0,26,1,0,1,7400.0,1,2,2,3,1,3,3,3,2,3,2,4,2,6,4,5,5,4.0,5.0,5.0,5.0,2.0,3.0,4.0,4,2,1,12.0
391,Education and training,0.55,1,22,0,1,0,7,1,0,0,5300.0,1,4,5,3,2,5,5,5,7,1,1,1,2,4,3,2,3,1.0,1.0,2.0,1.0,7.0,6.0,7.0,1,2,2,3.0
392,Healthcare and nursing,0.35,0,24,1,0,0,16,1,1,0,7300.0,1,3,1,2,3,2,2,3,2,6,5,5,5,3,3,4,3,6.0,4.0,2.0,5.0,3.0,1.0,2.0,3,4,6,12.0
393,Design and creative services,0.66,0,21,0,1,0,15,1,0,1,4700.0,1,4,3,4,5,4,5,5,4,6,4,5,7,1,2,2,2,4.0,5.0,7.0,3.0,5.0,3.0,3.0,3,1,1,27.0
394,Accounting and audit,0.82,1,21,0,0,0,11,1,1,1,5100.0,1,7,5,5,7,7,4,5,5,5,5,4,4,5,5,6,6,4.0,5.0,5.0,4.0,3.0,6.0,5.0,4,5,4,7.0
395,"Banking, securities and finance",0.71,0,25,1,0,0,32,0,1,0,0.0,1,5,5,4,5,6,5,6,6,4,4,3,5,4,4,5,5,4.0,5.0,4.0,5.0,5.0,7.0,4.0,4,3,2,35.0
396,Accounting and audit,0.82,1,21,0,1,1,5,1,1,1,8200.0,1,7,6,5,6,5,5,4,4,5,6,4,6,7,5,6,6,4.0,6.0,6.0,3.0,2.0,1.0,3.0,5,5,3,16.0
397,Marketing and e-commerce,0.6,1,21,0,0,0,29,1,1,1,12200.0,1,5,5,6,5,5,5,4,5,6,5,5,6,4,4,3,4,4.0,4.0,4.0,4.0,6.0,1.0,3.0,3,2,2,21.0
398,Public sector and institutions,0.5,0,22,0,0,1,8,1,0,1,13700.0,0,3,2,1,2,4,4,4,5,3,4,4,4,1,1,3,2,,,,,,,,5,4,5,
399,Mechanical and civil engineering,0.42,1,21,0,1,1,19,1,0,1,7400.0,1,5,5,2,3,6,6,6,6,2,2,2,3,2,1,1,3,3.0,2.0,4.0,3.0,6.0,5.0,6.0,5,5,5,16.0
400,Construction site management,0.22,1,27,1,0,0,9,1,0,1,6400.0,1,3,5,3,4,5,5,5,4,5,5,3,4,4,4,7,4,4.0,4.0,7.0,5.0,6.0,5.0,3.0,5,5,3,39.0
401,Software and IT services,0.86,1,24,1,0,1,26,0,0,0,0.0,1,5,7,5,6,6,4,5,5,4,5,5,5,7,7,6,6,5.0,7.0,7.0,6.0,5.0,3.0,5.0,4,6,5,56.0
402,"Content, media and communication",0.76,1,24,0,0,1,18,1,1,1,6500.0,0,5,6,6,5,6,6,5,5,5,4,4,4,3,5,4,3,,,,,,,,5,4,4,
